Código Capítulo;Capítulo Descripción;Exportaciones;Mes;NUM;Año
2;Carne y despojos comestibles.;765643.5692;Marzo;3;2022
2;Carne y despojos comestibles.;556009.8474;Abril;4;2022
2;Carne y despojos comestibles.;492670.5515;Mayo;5;2022
2;Carne y despojos comestibles.;656665.4862;Junio;6;2022
2;Carne y despojos comestibles.;523374.6228;Julio;7;2022
2;Carne y despojos comestibles.;670986.9928;Agosto;8;2022
2;Carne y despojos comestibles.;808132.9145;Septiembre;9;2022
2;Carne y despojos comestibles.;793262.5217;Octubre;10;2022
2;Carne y despojos comestibles.;476804.689;Noviembre;11;2022
2;Carne y despojos comestibles.;451290.0771;Diciembre;12;2022
2;Carne y despojos comestibles.;600164.7134;Enero;1;2023
2;Carne y despojos comestibles.;754196.0742;Febrero;2;2023
2;Carne y despojos comestibles.;694542.9334;Marzo;3;2023
2;Carne y despojos comestibles.;709740.3067;Abril;4;2023
2;Carne y despojos comestibles.;542368.583;Mayo;5;2023
2;Carne y despojos comestibles.;336399.8834;Junio;6;2023
2;Carne y despojos comestibles.;499861.2852;Julio;7;2023
2;Carne y despojos comestibles.;791179.854;Agosto;8;2023
2;Carne y despojos comestibles.;552582.7954;Septiembre;9;2023
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1204107.616;Enero;1;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;932623.3318;Febrero;2;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1261668.88;Marzo;3;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;905696.2224;Abril;4;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;966153.0437;Mayo;5;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1440190.609;Junio;6;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1310705.127;Julio;7;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1608249.997;Agosto;8;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;629730.2531;Septiembre;9;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;758116.2184;Octubre;10;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1577882.449;Noviembre;11;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1272106.217;Diciembre;12;2017
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1156359.828;Enero;1;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1085970.891;Febrero;2;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1171205.092;Marzo;3;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;597782.224;Abril;4;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;804481.8061;Mayo;5;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;508155.5779;Junio;6;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;847353.2736;Julio;7;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1506548.003;Agosto;8;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;4919349.018;Septiembre;9;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;760915.4383;Octubre;10;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;2262713.026;Noviembre;11;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1913944.53;Diciembre;12;2018
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;3206062.636;Enero;1;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;916787.5012;Febrero;2;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1971847.162;Marzo;3;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1095395.479;Abril;4;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1263193.602;Mayo;5;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1625467.335;Junio;6;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1509252.231;Julio;7;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1136831.485;Agosto;8;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1399970.668;Septiembre;9;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1586500.002;Octubre;10;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1530198.123;Noviembre;11;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1376931.91;Diciembre;12;2019
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1272414.153;Enero;1;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;833849.5101;Febrero;2;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;271177.8685;Marzo;3;2020
